timestamp_ms,host_timestamp_ms,adb_latency_ms,voltage_v,current_a,power_w,skin_temp_c,thermal_status,runner_pid,rss_kb,vmhwm_kb,valid_power,error
1785861404251.000,1785861404251.000,28.000,4.274,0.058,0.247892,36.641,0,9480,11012,11788,True,
1785861404852.500,1785861404852.500,35.000,4.267,0.069,0.29442300000000005,36.635,0,9480,630360,1026832,True,
1785861405469.000,1785861405469.000,56.000,4.291,0.033,0.141603,36.653,0,9480,734632,1026832,True,
1785861406090.500,1785861406090.500,53.000,4.244,0.143,0.6068919999999999,36.676,0,9480,34052,1026832,True,
1785861406708.500,1785861406708.500,49.000,4.264,0.083,0.35391200000000006,36.682,0,9480,34692,1026832,True,
1785861407326.500,1785861407326.500,59.000,4.257,0.106,0.451242,36.659,0,9480,34692,1026832,True,
1785861407950.500,1785861407950.500,41.000,4.253,0.049,0.20839700000000003,36.641,0,9480,34692,1026832,True,
1785861408563.500,1785861408563.500,47.000,4.258,0.11,0.46838,36.629,0,9480,34692,1026832,True,
1785861409165.500,1785861409165.500,39.000,4.251,0.12,0.51012,36.647,0,9480,34692,1026832,True,
1785861409769.000,1785861409769.000,44.000,4.25,0.128,0.544,36.647,0,9480,34692,1026832,True,
1785861410374.500,1785861410374.500,45.000,4.293,0.018,0.077274,36.629,0,,,,True,
1785861410427.500,1785861410427.500,29.000,4.274,0.063,0.269262,36.647,0,,,,True,
