runtime,model,backend,performance_mode,htp_performance_mode,htp_performance_mode_name,reasoning_budget_tokens,deadline_ms,num_rows,num_unique_runs,parse_error_truncated_count,parse_error_untruncated_count,wrong_answer_count,deadline_miss_count,other_errors_count,runtime_success_rate,answer_correct_rate,correct_under_deadline_rate,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,decode_latency_mean_ms,actual_output_tokens_mean,e2e_output_tokens_per_second_mean,energy_per_correct_answer_j
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,balanced,8,kHtpBalanced,512,5000,30,30,2,0,5,22,0,1.0,0.766667,0.033333,14086.2,11147.0,32126.8,13797.233,206.567,14.589,1774.591
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,128,10000,30,30,21,0,1,7,0,1.0,0.266667,0.033333,16986.333,18351.5,18753.15,16368.6,116.733,6.871,1159.844
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,128,20000,30,30,21,0,1,0,0,1.0,0.266667,0.266667,16986.333,18351.5,18753.15,16368.6,116.733,6.871,144.981
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,128,30000,30,30,21,0,1,0,0,1.0,0.266667,0.266667,16986.333,18351.5,18753.15,16368.6,116.733,6.871,144.981
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,128,5000,30,30,21,0,1,8,0,1.0,0.266667,0.0,16986.333,18351.5,18753.15,16368.6,116.733,6.871,NA
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,256,10000,30,30,9,0,3,17,0,1.0,0.6,0.033333,24709.267,23415.0,36847.4,24089.967,171.2,6.911,1603.102
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,256,20000,30,30,9,0,3,8,0,1.0,0.6,0.333333,24709.267,23415.0,36847.4,24089.967,171.2,6.911,160.31
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,256,30000,30,30,9,0,3,1,0,1.0,0.6,0.566667,24709.267,23415.0,36847.4,24089.967,171.2,6.911,94.3
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,256,5000,30,30,9,0,3,18,0,1.0,0.6,0.0,24709.267,23415.0,36847.4,24089.967,171.2,6.911,NA
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,512,10000,30,30,2,0,5,22,0,1.0,0.766667,0.033333,29655.9,23529.0,67709.2,29037.067,206.567,6.924,1857.247
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,512,20000,30,30,2,0,5,13,0,1.0,0.766667,0.333333,29655.9,23529.0,67709.2,29037.067,206.567,6.924,185.725
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,512,30000,30,30,2,0,5,6,0,1.0,0.766667,0.566667,29655.9,23529.0,67709.2,29037.067,206.567,6.924,109.25
executorch_qnn,Qwen2.5-3B-Instruct,QNN_HTP,low_saver,5,kHtpLowPowerSaver,512,5000,30,30,2,0,5,23,0,1.0,0.766667,0.0,29655.9,23529.0,67709.2,29037.067,206.567,6.924,NA
